vaatama,3704
",",30227
kes,2623
tuntud,457
tundma,1095
Eesti,14151
ettevõtja,403
toetama,708
paavst,80
visiit,86
94aastane,8
näitleja,317
Leida,5
Rammo,137
neli,1030
ettepanek,191
kuidas,5442
elu,2163
parem,669
muutma,1257
Taal,12
:,69470
võima,4955
mürk,39
võtma,2733
ilm,1402
et,2898
muutuma,952
Rehe,18
vaheldus,39
kooskõlastama,7
kuivem,55
kõik,1581
tähtsam,70
otsus,361
Tänavatantsija,1
Taani,188
tooma,3497
Leedu,384
võistlus,303
Tartu,3464
topeltvõit,2
ees,646
ootama,2465
ilus,347
nädalavahetus,821
ärinõuandla,2
andma,2836
välja,2901
hea,1578
tegu,279
auhind,359
üle,3189
kiirustav,4
tsüklon,57
ilmamuutus,23
tulev,155
suvi,785
algama,1681
miljon,1718
euro,2788
maksev,68
rauamaa,1
kaevandamine,22
eeluuring,2
uus,8455
töönädal,32
päikesepaisteliselt,1
jalgrattur,105
pöörama,214
sõiduauto,190
ette,732
ja,24022
saama,13202
viga,754
sadu,224
Ossinovski,217
Ossinovsk,74
miljardiprojekt,1
nurgakivi,87
homme,655
minema,4134
jälle,425
külmem,81
vale,208
koha,1034
koht,1463
vasakpööre,9
sooritanud,10
sooritama,47
autojuht,219
põrkama,193
kokku,1064
jalakäija,108
homne,246
olema,31097
taas,1854
päikseline,59
ABB,3
Grupp,38
tükk,90
330,7
dollarine,2
elektriprojekt,1
Kesk,21
-,4818
Aasia,109
sadama,297
vähene,134
lumi,627
lörts,208
galerii,5256
Toomas,199
Asser,19
ülikool,470
muuseum,358
püsinäitus,14
avamine,157
käsi,813
rektor,70
ametikett,1
kohalik,476
algatus,38
Saaremaa,1501
mändjalg,4
rand,393
suplusrand,1
pööre,82
tühi,200
tehtud,243
tegema,6356
transpordifirma,6
kaebama,158
endine,738
juht,1728
töötaja,631
kohus,919
kurikael,14
püüdma,617
rahvusülikool,29
piduõhtu,4
pilet,171
pakk,70
heauskne,8
raha,1216
petma,176
foto,3497
linnuvaatleja,10
leidma,2832
ojakallas,1
peesitav,1
kilpkonn,50
Vene,702
toll,25
auto,1550
suhtes,175
meel,363
selguma,1044
sünoptik,21
Danske,168
vilepuhuja,16
nimi,510
kevadsoe,8
veel,1424
ei,9652
saabuma,386
päästja,535
paigutama,57
suits,70
sisse,463
ajama,671
ajanud,49
kamin,12
korter,791
vingugaasiandur,16
test,257
nafta,68
sundima,295
laps,3173
hind,833
nädal,2228
tiik,41
Samsung,227
tõusma,768
algul,30
õhuke,32
jää,291
S8,7
viimane,1176
ära,1804
tulema,5804
lisa,137
aasta,6711
ülihea,6
kõrgeim,134
kuni,501
telefon,270
tase,232
ka,2933
20,423
«,6944
soojakraad,107
hüvasti,92
arvuti,141
!»,235
sääsk,53
tänavu,505
ilmselt,182
hord,8
ründama,304
kükitaja,2
küla,679
väikeettevõte,6
poiss,421
liit,323
elusalt,19
kävitama,1
#,41
põletamine,30
SMEtoo,1
üks,2843
kampaania,218
kahtlusalune,29
pääsema,948
süüdistus,136
mees,3678
loomaaed,556
kaotama,1039
huumorimeel,4
sünd,138
sündmusterohke,11
suuroperatsioon,5
paljastama,398
368,1
Euroopa,2195
veebipedofiil,1
jahedam,90
kuulus,307
luksuskaup,8
valmistaja,15
Versace,6
miljard,374
eest,2640
müük,721
tuuline,149
selge,233
Peugeot,34
308,6
korralik,194
mudeliuuendus,1
välismaa,220
IT-spets,3
tunglema,5
tööintervjuu,36
lugeja,1375
video,8091
öösel,276
katma,158
taevalaotus,8
virmalised,71
Postimees,1882
vahendama,32
laupäev,525
otseülekanne,174
100.,82
aastapäev,318
pühendama,134
pühendatud,95
valgusmäng,4
SEB,125
analüütik,58
joonlaud,5
kriis,198
algus,588
mõõtma,125
Škoda,23
linnamaastur,25
esmaesitlus,10
toimuma,1160
võimuladvik,9
sajas,31
aktus,21
osa,739
Daimleri,3
Daimler,9
pikaaegne,28
tegevjuht,73
panema,2635
amet,594
maha,828
faasan,4
aina,176
häälekam,1
SpaceX,26
saatma,863
esimene,2845
kord,1316
orbiit,49
salajane,87
luuresatelliit,3
turuhoone,19
pronkssiga,1
uhke,268
kostüüm,63
otse,639
Nordic,31
Business,3
Forum,11
2018,320
hanehirmus,1
talunik,65
püsti,106
häda,301
püügihooaeg,4
lähipäev,263
maailm,2901
marssima,36
teadus,214
nimel,317
ahhaa,24
Andres,241
Juur,19
julgustama,37
vatt,10
seest,45
aprill,517
natuke,52
tselluloositehas,109
saaga,32
ettevõte,572
kerkima,432
kolm,1758
Kagu-Eesti,62
Kagu-Eest,62
vald,1321
keskele,15
tõsine,233
risk,197
valitsus,1104
president,1274
Õues,2
maksumäng,1
hakkama,2662
väikeaktsionär,10
peaminister,457
kahandama,30
eestlane,1818
praegu,206
ettevõtlikkus,8
nagu,691
metsik,89
lääs,61
Tõnis,193
Lukas,86
vihmane,201
päev,2926
soojem,236
õhk,272
Nordea,11
kolima,409
oktoober,644
peakontor,31
Helsingi,272
põllumees,285
nördimus,8
teadma,1656
Meistrite,87
Meister,14
liiga,903
finaal,350
fänn,347
automaatne,14
näotuvastus,11
Simson,181
Rail,143
Baltic,262
kriitika,85
alusetu,20
neljapäev,283
nägema,1809
päikene,234
päike,339
hommik,237
õhtu,329
Rahvusülikool,2
tarkus,46
otsimine,31
ikka,423
kandma,424
kantud,10
soov,151
Elisa,113
ilusam,62
Starmani,14
inimene,4838
Starman,28
*,111
juhatus,218
täis,468
koosseis,108
sulg,35
saba,79
vihm,429
aitama,1899
kevade,260
kevad,405
võim,357
Soome,1480
päikeseline,92
kevadpäev,11
Airistoni,1
Airiston,5
kaasus,4
seotud,318
siduma,375
kodanik,212
vaht,94
alla,1496
pühapäev,644
ähvardama,470
Pokemon,12
Go,44
tegemine,215
vangla,211
soe,812
Kuulutus,935
kevadilm,50
29.,139
november,626
riik,1912
vahetama,373
ID-kaart,183
tootja,145
kohv,149
tasuma,829
varsti,165
puu,683
otsast,3
korjama,101
vihmahoog,76
Dvinjaninov,5
vaataja,89
ealine,4
iseärasus,4
karikatuur,835
valik,238
aeg,2064
politsei,1505
merevaade,12
nautleja,3
Helmi,8
sõitma,1200
läbiotsimine,9
ise,3041
liiv,56
kinni,781
Sõjamäng,2
Call,3
of,46
Duty,3
WWII,2
lekkima,73
Faehlmann,1
rohkem,1333
»,5255
kui,5421
Vanemuine,138
madal,137
teine,1804
enesehinnang,9
sõel,15
lava,403
mõnusalt,26
kevadine,169
Helin,1
In,27
Haga,2
memoriam,15
OPEC,4
Endel,18
Taniloo,4
lennutama,64
demokraatlik,15
kütusehind,38
kool,999
õpetama,402
kõrgus,78
mäng,742
kaudu,125
tegelik,79
põhjus,1086
miks,2805
investor,106
Tesla,222
küll,330
konn,80
massiline,30
kevadränne,8
konnatalgud,8
